;P_HOUSEHOLD;Q_HOUSEHOLD;P_HEATPUMP;Q_HEATPUMP;P_PV;Q_PV
2020-01-02 19:00:00;13299,109668816458;-1190,4420003406713;28342,46856250764;13013,82534248564;0,0;0,0
2020-01-02 19:15:00;13547,559116956923;-1430,2425541301575;29260,4320289506;12724,86354191138;0,0;0,0
2020-01-02 19:30:00;12279,19255939059;-1456,0474449667674;37949,24259058636;18186,60911779669;0,0;0,0
2020-01-02 19:45:00;11319,38831159804;-1184,3790007578823;38412,29351377488;17325,951168097374;0,0;0,0
2020-01-02 20:00:00;12578,858197996356;-1105,818444390203;24471,39658559162;15242,442999784162;0,0;0,0
2020-01-02 20:15:00;12282,742997656926;-829,8268337160973;44198,98431978219;17352,523447554988;0,0;0,0
2020-01-02 20:30:00;8019,4895553165;-1073,1383310092815;41886,27601627773;18388,178556325714;0,0;0,0
2020-01-02 20:45:00;7777,193787299264;-1442,1912248293554;26436,573325263133;10498,417551427416;0,0;0,0
2020-01-02 21:00:00;8582,605556869508;-1296,017777740522;46401,44271984102;19935,70100923381;0,0;0,0
2020-01-02 21:15:00;9301,10076455011;-1112,8356664097132;20381,109535535168;9466,321655737698;0,0;0,0
2020-01-02 21:30:00;8264,626328870985;-901,7373291576056;38763,472396458514;18799,49032672247;0,0;0,0
2020-01-02 21:45:00;8226,972890853884;-1260,3060015165752;36341,52694306906;11841,499010960251;0,0;0,0
2020-01-02 22:00:00;8347,262117173934;-976,4169996958644;22109,51249092949;7748,000449392532;0,0;0,0
2020-01-02 22:15:00;7618,962009514704;-1246,214556029108;39169,31474801165;18055,372759355432;0,0;0,0
2020-01-02 22:30:00;7056,498893737791;-1164,2435555845088;30787,16664302616;12255,334656164388;0,0;0,0
2020-01-02 22:45:00;7388,682884852085;-1224,5864446971557;24078,55632564757;12331,725020276164;0,0;0,0
2020-01-02 23:00:00;6808,166784244107;-1060,607888574071;34882,19526412751;14972,348975165696;0,0;0,0
2020-01-02 23:15:00;7008,144441138372;-975,5969997588122;29448,56407821444;14912,93990183673;0,0;0,0
