season;dayOfWeek;hour;meanP;stdP;meanQ;stdQ
winter;5;12;14909.37060546875;1509.1817626953125;146.18486976623535;251.63169479370117
winter;5;13;15082.143310546875;1501.9820556640625;121.58717918395996;251.90675354003906
winter;5;14;15081.35498046875;1492.7448120117188;67.55491256713867;248.9778823852539
winter;5;15;15476.93896484375;1498.8261108398438;113.1197452545166;250.77461624145508
winter;5;16;15289.670654296875;1506.4546508789062;231.46150970458984;252.62505340576172
winter;5;17;15241.576904296875;1513.0731811523438;246.51891708374023;252.58688735961914
winter;5;18;15626.74267578125;1497.5047607421875;218.56218338012695;248.210693359375
winter;5;19;15329.371826171875;1508.3350219726562;148.25588989257812;247.36984252929688
winter;5;20;14891.89013671875;1520.6854858398438;77.77542114257812;248.6356201171875
winter;5;21;14326.242919921875;1505.1229248046875;19.14006519317627;245.78976821899414
winter;5;22;13671.630615234375;1492.9083251953125;-42.81261682510376;252.71500778198242
winter;5;23;13315.522216796875;1479.5107421875;-46.94669580459595;252.25472259521484
winter;6;0;13199.83203125;1484.1942749023438;-54.76063919067383;246.3066177368164
winter;6;1;13520.22412109375;1500.7471923828125;-67.26468276977539;250.26205444335938
winter;6;2;13470.51611328125;1478.4297485351562;-54.703338623046875;249.24421310424805
winter;6;3;13418.363525390625;1489.0874633789062;-37.46163892745972;247.09149169921875
winter;6;4;13549.476318359375;1495.26513671875;-13.971155166625977;248.8717384338379
winter;6;5;13929.504638671875;1502.027587890625;27.549413681030273;249.72882461547852
winter;6;6;14805.47900390625;1518.2588500976562;124.38950538635254;249.3415756225586
winter;6;7;15661.762939453125;1517.5673828125;256.94286727905273;247.36842346191406
winter;6;8;15911.004638671875;1505.858642578125;367.9248275756836;250.04942321777344
winter;6;9;15725.9365234375;1488.4307250976562;412.37586975097656;251.0656623840332
winter;6;10;15897.396484375;1526.9342651367188;342.0553436279297;252.50948333740234
winter;6;11;15210.998291015625;1528.355224609375;290.77488708496094;247.78579330444336
winter;6;12;14995.50927734375;1507.289794921875;215.81245040893555;255.34209823608398
winter;6;13;14796.1240234375;1530.2809448242188;137.45513916015625;247.56780624389648
winter;6;14;14516.93994140625;1515.6216430664062;88.09255599975586;250.595947265625
winter;6;15;14618.12939453125;1477.8905639648438;146.61420059204102;250.6691131591797
winter;6;16;15331.399169921875;1486.4960327148438;191.19533157348633;249.54446029663086
winter;6;17;15502.726318359375;1493.076416015625;172.9256591796875;249.26285552978516
winter;6;18;15219.75732421875;1524.6634521484375;115.39111518859863;250.39339065551758
winter;6;19;14668.200927734375;1495.0502319335938;71.18182373046875;243.80136489868164
winter;6;20;14239.98876953125;1523.8327026367188;-2.700100898742676;251.18452835083008
winter;6;21;13772.71630859375;1488.0996704101562;-70.93181419372559;249.71640014648438
winter;6;22;13267.82421875;1498.846923828125;-97.2923641204834;247.0501251220703
winter;6;23;13279.641845703125;1501.840087890625;-144.74101638793945;245.29478073120117
summer;0;0;5729.64501953125;1475.234619140625;-1327.2966613769531;246.9309387207031
summer;0;1;5643.0267333984375;1455.9380493164062;-1333.6058349609375;246.06810760498047
summer;0;2;5660.4674072265625;1481.6100158691406;-1332.8739318847656;250.03975677490234
summer;0;3;5676.1903076171875;1489.476318359375;-1324.9879150390625;248.44727325439453
summer;0;4;5691.6212158203125;1471.7798767089844;-1319.8115539550781;247.45651245117188
summer;0;5;5749.7962646484375;1494.5314331054688;-1313.7444763183594;248.40758514404297
summer;0;6;5825.678466796875;1466.6033325195312;-1295.62255859375;248.4776611328125
summer;0;7;5898.4998779296875;1467.2630920410156;-1291.6824645996094;245.02257537841797
summer;0;8;5857.8369140625;1466.85009765625;-1299.3438720703125;248.87459564208984
summer;0;9;5865.8682861328125;1474.6375122070312;-1305.0707092285156;250.42273330688477
summer;0;10;5852.3404541015625;1480.427490234375;-1308.6582946777344;246.55537796020508
summer;0;11;5808.3062744140625;1490.45556640625;-1320.9398803710938;247.97684860229492
summer;0;12;5800.7593994140625;1459.2308044433594;-1332.5860900878906;248.77651977539062
summer;0;13;5776.2418212890625;1481.2528686523438;-1330.7219543457031;245.94842147827148
summer;0;14;5753.3563232421875;1500.65478515625;-1326.630859375;248.06570053100586
summer;0;15;5767.996337890625;1482.6194152832031;-1330.9363708496094;247.20277404785156
summer;0;16;5742.2496337890625;1483.238037109375;-1325.686767578125;248.84881591796875
summer;0;17;5803.244140625;1458.11181640625;-1304.8274230957031;249.79462432861328
summer;0;18;5792.0418701171875;1494.7357482910156;-1308.0997314453125;249.4561309814453
summer;0;19;5746.5723876953125;1471.9616394042969;-1312.6656494140625;248.4133415222168
summer;0;20;5796.06884765625;1468.9087829589844;-1300.7418212890625;248.4636459350586
summer;0;21;5850.555419921875;1476.8354797363281;-1297.6022338867188;244.90110778808594
summer;0;22;5846.5135498046875;1466.899658203125;-1295.5686340332031;244.5207862854004
summer;0;23;5800.872802734375;1478.0504150390625;-1293.7397766113281;245.78412628173828
