Line Constraint Violations:
Time Step 443, 2 violations
Time Step 452, 1 violations
Time Step 463, 1 violations
Time Step 524, 1 violations
Time Step 548, 1 violations
Time Step 55, 1 violations
Time Step 73, 1 violations
Time Step 235, 1 violations
Time Step 258, 1 violations
Time Step 323, 2 violations
Time Step 327, 1 violations
Time Step 361, 3 violations
Time Step 424, 1 violations
Time Step 433, 1 violations
Time Step 609, 1 violations
Time Step 614, 1 violations
Time Step 616, 3 violations
Time Step 621, 1 violations
Time Step 630, 1 violations
Time Step 649, 3 violations
Time Step 52, 1 violations
Time Step 70, 1 violations
Time Step 83, 1 violations
Time Step 260, 1 violations
Time Step 337, 1 violations
Time Step 352, 3 violations
Time Step 354, 1 violations
Time Step 362, 1 violations
Time Step 377, 1 violations
Time Step 427, 2 violations
Time Step 519, 1 violations
Time Step 539, 1 violations
Time Step 653, 1 violations
Time Step 3, 1 violations
Time Step 56, 1 violations
Time Step 141, 1 violations
Time Step 142, 1 violations
Time Step 168, 1 violations
Time Step 173, 2 violations
Time Step 175, 1 violations
Time Step 231, 1 violations
Time Step 240, 1 violations
Time Step 255, 1 violations
Time Step 257, 1 violations
Time Step 268, 2 violations
Time Step 335, 1 violations
Time Step 439, 1 violations
Time Step 529, 1 violations
Time Step 626, 1 violations
Time Step 656, 1 violations
Time Step 167, 1 violations
Time Step 263, 1 violations
Time Step 330, 1 violations
Time Step 332, 1 violations
Time Step 343, 1 violations
Time Step 363, 1 violations
Time Step 441, 1 violations
Time Step 454, 1 violations
Time Step 466, 1 violations
Time Step 526, 2 violations
Time Step 555, 1 violations
Time Step 557, 1 violations
Time Step 601, 1 violations
Time Step 628, 1 violations
Time Step 637, 1 violations
Time Step 657, 1 violations
Time Step 658, 1 violations
Time Step 49, 1 violations
Time Step 82, 1 violations
Time Step 170, 1 violations
Time Step 356, 1 violations
Time Step 360, 1 violations
Time Step 367, 1 violations
Time Step 417, 1 violations
Time Step 434, 1 violations
Time Step 436, 1 violations
Time Step 450, 1 violations
Time Step 612, 1 violations

Maximum Violations:
Line 24, Time Step 437: 7 violations
